text,status,naer_general_rank,written_per_million,spoken_per_million,provenance_ids
第二,provisional,336,343.2004504969904,368.8975288134348,naer:coct-general-frequency
身體,provisional,337,385.0876666960643,415.6195454332442,naer:coct-general-frequency
錢,provisional,338,352.43064456986,365.4262143256177,naer:coct-general-frequency
容易,provisional,339,319.8808117941793,472.6147765507828,naer:coct-general-frequency
段,provisional,340,379.1168228743026,345.3019722273263,naer:coct-general-frequency
以前,provisional,341,228.2378870724066,617.5187015895291,naer:coct-general-frequency
您,provisional,342,299.8125833905854,615.5954057246573,naer:coct-general-frequency
健康,provisional,343,196.4621996060632,430.6306351102914,naer:coct-general-frequency
同,provisional,344,397.4263519341197,134.8652588172209,naer:coct-general-frequency
要求,provisional,345,280.891678035189,126.0931532871964,naer:coct-general-frequency
項,provisional,346,351.2078919787013,126.7029788053265,naer:coct-general-frequency
爸爸,provisional,347,167.390065758483,653.3576781934793,naer:coct-general-frequency
生命,provisional,348,361.9307970070113,385.9257336658352,naer:coct-general-frequency
服務,provisional,349,149.2393357364789,182.1501912999196,naer:coct-general-frequency
計畫,provisional,350,215.065506885834,138.148934684075,naer:coct-general-frequency
起來,provisional,351,438.8133511640833,389.4439578088932,naer:coct-general-frequency
誰,provisional,352,422.0679926267225,320.7682225364022,naer:coct-general-frequency
設計,provisional,353,232.2912325125785,199.366034773283,naer:coct-general-frequency
歷史,provisional,354,374.6823597433799,204.9013740916942,naer:coct-general-frequency
這邊,provisional,355,31.41838963126446,893.2536550947897,naer:coct-general-frequency
往,provisional,356,377.6598417023702,355.7628253460185,naer:coct-general-frequency
任何,provisional,357,515.1877484001543,190.6877485537401,naer:coct-general-frequency
之間,provisional,358,466.7738917469738,313.1219487321564,naer:coct-general-frequency
且,provisional,359,261.1251678034395,14.77654140084333,naer:coct-general-frequency
花,provisional,360,284.6750651110792,296.9381176740898,naer:coct-general-frequency
改變,provisional,361,362.5342333507,334.2312935905039,naer:coct-general-frequency
打,provisional,362,301.4918832154558,281.5986604103572,naer:coct-general-frequency
只是,provisional,363,370.3511159870355,361.2043453539482,naer:coct-general-frequency
非,provisional,364,441.4930849271744,68.20663872008319,naer:coct-general-frequency
自然,provisional,365,361.8831572956673,342.5343025681207,naer:coct-general-frequency
常,provisional,366,338.3134101083011,204.6199161602496,naer:coct-general-frequency
變,provisional,367,316.3594431306802,388.6464936698,naer:coct-general-frequency
別人,provisional,368,426.8994533521772,369.5073543315648,naer:coct-general-frequency
電影,provisional,369,450.4215608281997,70.5521214821218,naer:coct-general-frequency
完成,provisional,370,238.4883649632234,203.8693616763972,naer:coct-general-frequency
拿,provisional,371,272.10215129225,371.1491922649919,naer:coct-general-frequency
人員,provisional,372,194.3819322107154,159.8681050605526,naer:coct-general-frequency
路,provisional,373,292.4363680841804,282.7244921361358,naer:coct-general-frequency
隻,provisional,374,369.1601232034394,289.9016693879739,naer:coct-general-frequency
剛剛,provisional,375,80.73740079997795,783.485061831382,naer:coct-general-frequency
真,provisional,376,530.2538071126446,161.6975816149427,naer:coct-general-frequency
道,provisional,377,559.2941811526623,152.8316567744367,naer:coct-general-frequency
